 ,Chamber 1 IntDen,Chamber 2 IntDen,Chamber 3 IntDen,Chamber 4 IntDen,Chamber 5 IntDen,Chamber 6 IntDen,Chamber 7 IntDen,Chamber 8 IntDen,Chamber 9 IntDen,Chamber 10 IntDen,Chamber 11 IntDen,Chamber 12 IntDen,Chamber 13 IntDen,Chamber 14 IntDen,Chamber 15 IntDen,Chamber 16 IntDen,Chamber 17 IntDen,Chamber 18 IntDen,Chamber 19 IntDen,Chamber 20 IntDen,Chamber 21 IntDen,Chamber 22 IntDen,Chamber 23 IntDen,Chamber 24 IntDen,Chamber 25 IntDen,Chamber 26 IntDen,Chamber 27 IntDen,Chamber 28 IntDen,Chamber 29 IntDen,Chamber 30 IntDen,Chamber 31 IntDen,Chamber 32 IntDen,Chamber 33 IntDen,Chamber 34 IntDen,Chamber 35 IntDen,Chamber 36 IntDen,Chamber 37 IntDen,Chamber 38 IntDen,Chamber 39 IntDen,Chamber 40 IntDen,Chamber 41 IntDen,Chamber 42 IntDen,Chamber 43 IntDen,Chamber 44 IntDen,Chamber 45 IntDen,Chamber 46 IntDen,Chamber 47 IntDen,Chamber 48 IntDen,Chamber 49 IntDen,Chamber 50 IntDen,Chamber 51 IntDen,Chamber 52 IntDen,Chamber 53 IntDen,Chamber 54 IntDen,Chamber 55 IntDen,Chamber 56 IntDen,Chamber 57 IntDen,Chamber 58 IntDen,Chamber 59 IntDen,Chamber 60 IntDen,Chamber 61 IntDen,Chamber 62 IntDen,Chamber 63 IntDen,Chamber 64 IntDen,Chamber 65 IntDen,Chamber 66 IntDen,Chamber 67 IntDen,Chamber 68 IntDen,Chamber 69 IntDen,Chamber 70 IntDen,Chamber 71 IntDen,Chamber 72 IntDen,Chamber 73 IntDen,Chamber 74 IntDen,Chamber 75 IntDen,Chamber 76 IntDen,Chamber 77 IntDen,Chamber 78 IntDen,Chamber 79 IntDen,Chamber 80 IntDen,Chamber 81 IntDen,Chamber 82 IntDen,Chamber 83 IntDen,Chamber 84 IntDen,Chamber 85 IntDen,Chamber 86 IntDen,Chamber 87 IntDen,Chamber 88 IntDen,Chamber 89 IntDen,Chamber 90 IntDen,Chamber 91 IntDen,Chamber 92 IntDen,Chamber 93 IntDen,Chamber 94 IntDen,Chamber 95 IntDen,Chamber 96 IntDen,Chamber 97 IntDen,Chamber 98 IntDen,Chamber 99 IntDen,Chamber 100 IntDen,Chamber 101 IntDen,Chamber 102 IntDen,Chamber 103 IntDen,Chamber 104 IntDen,Chamber 105 IntDen,Chamber 106 IntDen,Chamber 107 IntDen,Chamber 108 IntDen,Chamber 109 IntDen,Chamber 110 IntDen,Chamber 111 IntDen,Chamber 112 IntDen,Chamber 113 IntDen,Chamber 114 IntDen,Chamber 115 IntDen,Chamber 116 IntDen,Chamber 117 IntDen,Chamber 118 IntDen,Chamber 119 IntDen,Chamber 120 IntDen,Chamber 121 IntDen,Chamber 122 IntDen,Chamber 123 IntDen,Chamber 124 IntDen,Chamber 125 IntDen,Chamber 126 IntDen,Chamber 127 IntDen,Chamber 128 IntDen,Chamber 129 IntDen,Chamber 130 IntDen,Chamber 131 IntDen,Chamber 132 IntDen,Chamber 133 IntDen,Chamber 134 IntDen,Chamber 135 IntDen,Chamber 136 IntDen,Chamber 137 IntDen,Chamber 138 IntDen,Chamber 139 IntDen,Chamber 140 IntDen,Chamber 141 IntDen,Chamber 142 IntDen,Chamber 143 IntDen,Chamber 144 IntDen,Chamber 145 IntDen,Chamber 146 IntDen,Chamber 147 IntDen,Chamber 148 IntDen,Chamber 149 IntDen,Chamber 150 IntDen,Chamber 151 IntDen,Chamber 152 IntDen,Chamber 153 IntDen,Chamber 154 IntDen,Chamber 155 IntDen,Chamber 156 IntDen,Chamber 157 IntDen,Chamber 158 IntDen,Chamber 159 IntDen,Chamber 160 IntDen
1,798276.000,851760.000,923475.000,979271.000,1025146.000,1069947.000,1117082.000,1277253.000,1191079.000,1211867,1237425,1323298.000,1229174.000,1221647.000,1186487.000,1264605.000,1172852.000,1119157,1066776.000,1017090.000,835257.000,892626.000,953923.000,1008528.000,1052298.000,1094324.000,1149248.000,1187137.000,1236477.000,1249285,1279209.000,1278191,1273723.000,1324375.000,1216091,1193292.000,1165481.000,1292825.000,1115438.000,1055482.000,875418.000,938539.000,996440.000,1040275.000,1085245.000,1140374.000,1182741.000,1222014.000,1264312,1291316,1319418.000,1304512.000,1308815.000,1344368.000,1247122,1346280.000,1198768.000,1173984.000,1153934.000,1106250.000,891911.000,944853.000,1001598.000,1042094.000,1083074.000,1138283.000,1182115.000,1223932,1258981,1304184.000,1440586.000,1354222.000,1305223.000,1283438,1239781,1224433.000,1317427.000,1150307.000,1132013.000,1099218.000,900630.000,953420.000,1002117.000,1043653.000,1128570.000,1128667.000,1161933.000,1193642.000,1230909,1262258,1344115.000,1273022.000,1308929.000,1242892,1219651.000,1195933.000,1246444.000,1133353.000,1097932.000,1074094.000,891783.000,946059.000,995948.000,1028336.000,1070870.000,1117154.000,1152824.000,1190347.000,1213316,1307196.000,1254323,1328536.000,1246137,1366073.000,1279083.000,1304067.000,1161638.000,1122303.000,1093616.000,1064673.000,883063.000,932945.000,1029690.000,1022593.000,1057230.000,1107302.000,1146254.000,1170831.000,1200425.000,1226300,1275100.000,1287296.000,1228903,1211752.000,1189569.000,1306348.000,1198034.000,1223613.000,1140483.000,1036398.000,877005.000,930382.000,970439.000,992133.000,1024352.000,1069040.000,1096581.000,1121941.000,1147285.000,1168639.000,1165750.000,1166465,1268985.000,1142187.000,1258700.000,1229877.000,1182062.000,1138894.000,1050742.000,976669.000
2,812186.000,856783.000,923400.000,981402.000,1026364.000,1068677.000,1119885.000,1320993.000,1195569.000,1215203,1241032,1358173.000,1231408.000,1224749.000,1188964.000,1300938.000,1232924.000,1122355,1070974.000,1018651.000,835144.000,891550.000,954210.000,1007939.000,1052386.000,1096246.000,1151987.000,1188677.000,1236183.000,1251048,1281898.000,1278746,1281941.000,1358817.000,1222146,1194234.000,1170332.000,1325937.000,1123563.000,1060693.000,877942.000,939225.000,997949.000,1042608.000,1086820.000,1144941.000,1182127.000,1225244.000,1262666,1292542,1321475.000,1306376.000,1310331.000,1388088.000,1246461,1382664.000,1202065.000,1178920.000,1155385.000,1109452.000,893319.000,946885.000,1000787.000,1044847.000,1084634.000,1137176.000,1183287.000,1223677,1261953,1303737.000,1471464.000,1356011.000,1306952.000,1284960,1242529,1225710.000,1354518.000,1149438.000,1135154.000,1100634.000,901575.000,956786.000,1002801.000,1043153.000,1163599.000,1129765.000,1163510.000,1196094.000,1233646,1264371,1372171.000,1278450.000,1310328.000,1245128,1222543.000,1197891.000,1286748.000,1135853.000,1104194.000,1077372.000,892504.000,947932.000,998008.000,1029187.000,1069806.000,1116691.000,1155609.000,1188412.000,1216047,1333347.000,1255023,1356104.000,1243927,1402718.000,1318734.000,1337777.000,1168233.000,1149876.000,1095675.000,1065788.000,886067.000,935946.000,1084364.000,1023822.000,1060714.000,1107759.000,1144897.000,1172746.000,1203363.000,1225914,1314883.000,1289766.000,1231136,1215265.000,1193135.000,1345741.000,1237022.000,1249247.000,1179980.000,1040201.000,879596.000,930322.000,971215.000,992975.000,1025948.000,1071062.000,1098601.000,1121584.000,1147188.000,1171178.000,1168360.000,1169242,1293758.000,1146033.000,1297541.000,1271435.000,1210140.000,1165396.000,1076243.000,979906.000
3,828972.000,854906.000,923722.000,981699.000,1027071.000,1072199.000,1117895.000,1359616.000,1196778.000,1215467,1243303,1392199.000,1232843.000,1221903.000,1187668.000,1334687.000,1283218.000,1124675,1071018.000,1020929.000,834638.000,893184.000,953919.000,1008197.000,1056282.000,1098782.000,1150922.000,1190488.000,1236530.000,1252045,1283258.000,1280884,1278114.000,1394019.000,1220534,1197166.000,1173580.000,1355755.000,1123984.000,1059003.000,876708.000,939792.000,997529.000,1044534.000,1088435.000,1157709.000,1186503.000,1226048.000,1263385,1296325,1322094.000,1307657.000,1312524.000,1432166.000,1252834,1414632.000,1205352.000,1182868.000,1155265.000,1111936.000,894943.000,946763.000,1000365.000,1045613.000,1085859.000,1139734.000,1181572.000,1223765,1259580,1303902.000,1508874.000,1355886.000,1308497.000,1284938,1242276,1230066.000,1390076.000,1149985.000,1134074.000,1102263.000,901194.000,955619.000,1003082.000,1042343.000,1192430.000,1130377.000,1165545.000,1195173.000,1230225,1265025,1396611.000,1280536.000,1371089.000,1246548,1223144.000,1218088.000,1318072.000,1137752.000,1102143.000,1077884.000,893232.000,949654.000,999602.000,1029809.000,1071289.000,1118182.000,1153753.000,1190774.000,1213884,1358060.000,1256098,1379690.000,1248822,1436877.000,1354799.000,1369809.000,1168886.000,1178983.000,1097929.000,1067292.000,883111.000,935500.000,1131916.000,1026633.000,1063275.000,1109990.000,1147440.000,1174166.000,1203043.000,1227168,1351272.000,1289503.000,1230485,1217034.000,1195182.000,1381649.000,1275908.000,1274386.000,1221376.000,1039583.000,878990.000,933202.000,973699.000,992060.000,1026551.000,1070610.000,1099091.000,1124200.000,1147902.000,1173155.000,1168256.000,1172400,1316192.000,1147923.000,1331983.000,1311322.000,1237563.000,1191454.000,1100615.000,983976.000
4,845449.000,853300.000,924171.000,984259.000,1028402.000,1072275.000,1120096.000,1404541.000,1200084.000,1213775,1243712,1424909.000,1236275.000,1226340.000,1192299.000,1374242.000,1337307.000,1126098,1074209.000,1021312.000,835487.000,894300.000,955227.000,1008584.000,1054606.000,1098527.000,1152457.000,1189484.000,1238798.000,1250520,1285666.000,1286003,1280611.000,1429185.000,1227370,1195439.000,1174350.000,1386614.000,1125457.000,1061976.000,878108.000,941748.000,999151.000,1045152.000,1089511.000,1190525.000,1186205.000,1227062.000,1266043,1296781,1324021.000,1307741.000,1312023.000,1470244.000,1251780,1451555.000,1206312.000,1186504.000,1157449.000,1114264.000,893727.000,949873.000,1000113.000,1046090.000,1086224.000,1139501.000,1183489.000,1227315,1260075,1305753.000,1540748.000,1358697.000,1308860.000,1286331,1243156,1229075.000,1425972.000,1152785.000,1135604.000,1103975.000,901473.000,956802.000,1002599.000,1045651.000,1226354.000,1130962.000,1165531.000,1198167.000,1234271,1268960,1424561.000,1283083.000,1415107.000,1248583,1223146.000,1260770.000,1358247.000,1141096.000,1105105.000,1080512.000,895309.000,951085.000,1000507.000,1032513.000,1074340.000,1120587.000,1154443.000,1194798.000,1219279,1376407.000,1260081,1408785.000,1249832,1472980.000,1395495.000,1397119.000,1171831.000,1207404.000,1098580.000,1068200.000,886167.000,937974.000,1180861.000,1029900.000,1063834.000,1112185.000,1150075.000,1174727.000,1208122.000,1230265,1387395.000,1295188.000,1234710,1220261.000,1200648.000,1414842.000,1313095.000,1301310.000,1259362.000,1045704.000,882684.000,936011.000,974715.000,996378.000,1027979.000,1072032.000,1102233.000,1126161.000,1150807.000,1173232.000,1172225.000,1174072,1337938.000,1152011.000,1366943.000,1350110.000,1264954.000,1216166.000,1125612.000,986138.000
5,861413.000,854042.000,926899.000,981547.000,1028396.000,1070105.000,1119363.000,1443800.000,1197540.000,1217195,1243751,1456130.000,1236910.000,1224727.000,1190891.000,1408690.000,1382974.000,1127068,1099343.000,1018983.000,835426.000,892159.000,952320.000,1011403.000,1054472.000,1097129.000,1151433.000,1187094.000,1239040.000,1251487,1284289.000,1283199,1282428.000,1458701.000,1225817,1196032.000,1174233.000,1412671.000,1124755.000,1059651.000,878233.000,938757.000,997713.000,1044650.000,1087642.000,1220667.000,1185832.000,1225314.000,1263739,1296986,1322658.000,1309969.000,1312028.000,1513335.000,1251175,1481033.000,1206323.000,1189910.000,1158273.000,1114555.000,895796.000,947592.000,1000137.000,1044698.000,1084804.000,1138109.000,1181970.000,1222544,1258335,1303266.000,1572927.000,1359724.000,1309135.000,1284709,1243660,1228982.000,1458466.000,1150777.000,1135789.000,1102420.000,902910.000,955990.000,1002672.000,1043423.000,1253286.000,1133530.000,1164491.000,1197817.000,1230959,1267669,1452037.000,1282083.000,1456251.000,1248174,1221612.000,1292787.000,1392384.000,1140160.000,1105578.000,1080753.000,893711.000,951827.000,999266.000,1030625.000,1071581.000,1118742.000,1155639.000,1193439.000,1215548,1402388.000,1258846,1430340.000,1250169,1503910.000,1430032.000,1426150.000,1170628.000,1235082.000,1098972.000,1069260.000,887011.000,937409.000,1230361.000,1029703.000,1060964.000,1111604.000,1148073.000,1175404.000,1205416.000,1230498,1420814.000,1294899.000,1233856,1219353.000,1198429.000,1447491.000,1346083.000,1322223.000,1293910.000,1045581.000,881796.000,936058.000,976414.000,996310.000,1028642.000,1072010.000,1103594.000,1127983.000,1149394.000,1175323.000,1170334.000,1171336,1359795.000,1151702.000,1398323.000,1387213.000,1285964.000,1236008.000,1145751.000,987090.000
6,875938.000,854417.000,927048.000,981680.000,1031590.000,1073389.000,1121744.000,1488577.000,1198917.000,1215868,1245662,1484159.000,1237470.000,1225485.000,1191828.000,1448170.000,1434192.000,1128313,1119838.000,1022171.000,835447.000,892046.000,955411.000,1011169.000,1053456.000,1098997.000,1150854.000,1190012.000,1239033.000,1252486,1284272.000,1281260,1281978.000,1486347.000,1225813,1199557.000,1175005.000,1439402.000,1125421.000,1060921.000,878607.000,940395.000,1000695.000,1044858.000,1085777.000,1255263.000,1187630.000,1223373.000,1265850,1293730,1321281.000,1306234.000,1312116.000,1550878.000,1254299,1512568.000,1206070.000,1194899.000,1158939.000,1114986.000,893794.000,948914.000,1000851.000,1047089.000,1083087.000,1137224.000,1178208.000,1224541,1257469,1303089.000,1601566.000,1359394.000,1308974.000,1285305,1243136,1226971.000,1489181.000,1149986.000,1134512.000,1102164.000,901137.000,953294.000,1003300.000,1044399.000,1283834.000,1132574.000,1163142.000,1196317.000,1230309,1268552,1472193.000,1282846.000,1499081.000,1247644,1221396.000,1329958.000,1429761.000,1141636.000,1105625.000,1080648.000,895245.000,953148.000,999182.000,1031513.000,1073680.000,1117622.000,1155467.000,1192746.000,1216824,1418438.000,1260566,1451187.000,1249800,1535166.000,1463056.000,1452687.000,1176871.000,1263230.000,1100417.000,1067364.000,886914.000,936066.000,1277643.000,1031635.000,1064189.000,1110693.000,1151212.000,1176594.000,1206029.000,1228731,1455904.000,1293841.000,1236319,1221227.000,1198623.000,1479835.000,1381930.000,1342442.000,1327811.000,1048703.000,882138.000,936291.000,976251.000,998585.000,1029870.000,1072900.000,1103152.000,1128212.000,1148330.000,1175842.000,1172645.000,1174079,1378022.000,1153414.000,1431706.000,1423767.000,1311383.000,1260056.000,1168730.000,988030.000
7,889278.000,855285.000,925603.000,983351.000,1029870.000,1072117.000,1121407.000,1528973.000,1199657.000,1216978,1245503,1513487.000,1237380.000,1224725.000,1191296.000,1481040.000,1482578.000,1129051,1139087.000,1019355.000,834798.000,890352.000,952007.000,1026935.000,1052222.000,1097056.000,1152606.000,1186874.000,1236012.000,1250853,1285815.000,1281283,1282379.000,1512292.000,1224203,1198765.000,1174285.000,1466850.000,1126513.000,1061916.000,879753.000,939586.000,997594.000,1043196.000,1088308.000,1288786.000,1185603.000,1220994.000,1264523,1293555,1318863.000,1307726.000,1311660.000,1585523.000,1252862,1538981.000,1206766.000,1201371.000,1158550.000,1117540.000,893745.000,946637.000,998404.000,1044046.000,1082810.000,1137262.000,1182701.000,1222424,1257659,1300028.000,1628758.000,1359602.000,1306694.000,1281981,1242987,1229078.000,1520794.000,1150915.000,1133498.000,1100907.000,903322.000,952306.000,1001882.000,1042018.000,1311024.000,1132940.000,1163924.000,1194070.000,1229274,1266606,1495039.000,1282719.000,1538740.000,1247092,1222906.000,1361362.000,1463825.000,1140275.000,1105418.000,1079095.000,895479.000,951357.000,998831.000,1028054.000,1072887.000,1116836.000,1154656.000,1190422.000,1213750,1436902.000,1256721,1471432.000,1249263,1562831.000,1496058.000,1474362.000,1175550.000,1290613.000,1100885.000,1069460.000,885731.000,938322.000,1325445.000,1031590.000,1065389.000,1108803.000,1145992.000,1175479.000,1204326.000,1230962,1484304.000,1294728.000,1235099,1218356.000,1199714.000,1508863.000,1412441.000,1361920.000,1359091.000,1049221.000,882470.000,937742.000,976257.000,998357.000,1031846.000,1074446.000,1104951.000,1129276.000,1150477.000,1175746.000,1173190.000,1174682,1395945.000,1152158.000,1459252.000,1462527.000,1332643.000,1278818.000,1191280.000,990071.000
8,901324.000,854055.000,926138.000,982070.000,1031633.000,1069841.000,1120020.000,1570687.000,1198678.000,1217363,1244689,1540854.000,1237719.000,1224316.000,1191062.000,1516085.000,1527473.000,1129349,1166207.000,1019713.000,837038.000,890311.000,951828.000,1042954.000,1051101.000,1096182.000,1148940.000,1185636.000,1234087.000,1250408,1282776.000,1279870,1279650.000,1541476.000,1224730,1196739.000,1173196.000,1491069.000,1126072.000,1058767.000,877815.000,939830.000,996720.000,1040149.000,1086472.000,1315600.000,1186134.000,1220847.000,1263940,1292993,1320727.000,1304547.000,1310802.000,1619978.000,1251935,1563666.000,1207603.000,1244178.000,1158770.000,1114999.000,892646.000,944941.000,999521.000,1041587.000,1081899.000,1134124.000,1177728.000,1220013,1255624,1302047.000,1650335.000,1395148.000,1307489.000,1282566,1241780,1227495.000,1550082.000,1172468.000,1132291.000,1100190.000,899684.000,953545.000,1002268.000,1041418.000,1336645.000,1130514.000,1162631.000,1193998.000,1228035,1264895,1516120.000,1284900.000,1577149.000,1249088,1251180.000,1396283.000,1490862.000,1140116.000,1103167.000,1079908.000,893270.000,950609.000,999941.000,1030299.000,1072703.000,1117281.000,1151180.000,1190712.000,1214201,1450715.000,1255803,1491835.000,1247164,1591378.000,1529430.000,1496930.000,1176356.000,1316832.000,1103664.000,1067674.000,887292.000,937781.000,1367688.000,1032914.000,1064373.000,1109484.000,1146578.000,1177886.000,1203601.000,1225736,1519289.000,1295701.000,1232975,1220463.000,1199378.000,1534744.000,1445592.000,1379775.000,1394256.000,1050961.000,883876.000,937563.000,975851.000,997830.000,1028637.000,1075853.000,1106260.000,1125499.000,1150496.000,1174413.000,1173233.000,1174835,1413325.000,1151762.000,1488636.000,1494398.000,1355247.000,1296809.000,1211156.000,985725.000
9,914959.000,854738.000,925661.000,980852.000,1026962.000,1071849.000,1119919.000,1612946.000,1201165.000,1217834,1243510,1569244.000,1237665.000,1225438.000,1191076.000,1554454.000,1572032.000,1128853,1183850.000,1017324.000,833949.000,889764.000,952081.000,1056492.000,1053251.000,1094864.000,1149529.000,1188185.000,1232575.000,1248732,1283574.000,1279883,1280098.000,1565446.000,1224003,1198270.000,1171777.000,1515554.000,1146768.000,1057578.000,874312.000,937916.000,996671.000,1040338.000,1086845.000,1349963.000,1182740.000,1218487.000,1264290,1292933,1317759.000,1301391.000,1309416.000,1656397.000,1250515,1594078.000,1208500.000,1288700.000,1159115.000,1112674.000,892253.000,943873.000,998950.000,1039465.000,1080360.000,1131579.000,1177041.000,1219172,1256730,1299423.000,1675015.000,1418784.000,1304833.000,1279767,1238498,1226103.000,1576598.000,1196646.000,1132723.000,1099608.000,899941.000,951976.000,1000289.000,1039169.000,1361236.000,1129073.000,1160059.000,1191911.000,1226669,1266798,1535739.000,1280921.000,1612187.000,1242680,1277176.000,1428299.000,1523287.000,1137562.000,1101529.000,1078852.000,893148.000,951021.000,999143.000,1026275.000,1068875.000,1115511.000,1152765.000,1189990.000,1213180,1473584.000,1255968,1509232.000,1252035,1623268.000,1562845.000,1518224.000,1177711.000,1345276.000,1111295.000,1068383.000,885326.000,938316.000,1414147.000,1031562.000,1064768.000,1108594.000,1142982.000,1175319.000,1206054.000,1227838,1546857.000,1295607.000,1232322,1220397.000,1201120.000,1561262.000,1473114.000,1400365.000,1422305.000,1052187.000,882216.000,938726.000,977113.000,999105.000,1030495.000,1105755.000,1104633.000,1124905.000,1146805.000,1176560.000,1170455.000,1171995,1427404.000,1152113.000,1519043.000,1525568.000,1376331.000,1315215.000,1227670.000,987040.000
10,928355.000,856925.000,925522.000,979141.000,1030449.000,1071493.000,1119169.000,1652956.000,1200622.000,1215716,1242742,1593286.000,1237622.000,1222419.000,1188901.000,1590598.000,1616815.000,1127905,1206444.000,1018162.000,832443.000,887509.000,949155.000,1068953.000,1050651.000,1091516.000,1146330.000,1183678.000,1233677.000,1246867,1280338.000,1278853,1282153.000,1587252.000,1224149,1196881.000,1173461.000,1536727.000,1163134.000,1057209.000,874804.000,936913.000,994153.000,1038692.000,1084078.000,1382167.000,1183212.000,1213213.000,1260863,1289393,1317969.000,1297336.000,1310958.000,1690530.000,1250253,1618287.000,1205700.000,1331040.000,1158590.000,1115313.000,890825.000,942804.000,995482.000,1037506.000,1076185.000,1129922.000,1174841.000,1218360,1250576,1294230.000,1695601.000,1447455.000,1303305.000,1277244,1234287,1224193.000,1604477.000,1220656.000,1129561.000,1095924.000,898500.000,951426.000,997027.000,1037610.000,1389375.000,1128806.000,1159341.000,1188017.000,1221879,1263434,1554851.000,1280436.000,1647556.000,1242614,1298138.000,1455473.000,1548992.000,1136393.000,1099680.000,1078264.000,893856.000,949922.000,997717.000,1027187.000,1069413.000,1115093.000,1150515.000,1187574.000,1210694,1483468.000,1253570,1528799.000,1248518,1647808.000,1593395.000,1538009.000,1175767.000,1372092.000,1134803.000,1064685.000,887111.000,935354.000,1451268.000,1029846.000,1060152.000,1107329.000,1142740.000,1171789.000,1204527.000,1224202,1575651.000,1293771.000,1230314,1214949.000,1196768.000,1590131.000,1501294.000,1417376.000,1452200.000,1051110.000,883830.000,937800.000,977572.000,996631.000,1029854.000,1135161.000,1105354.000,1124336.000,1147400.000,1175378.000,1170119.000,1170569,1446628.000,1152829.000,1548677.000,1557956.000,1397594.000,1330127.000,1243864.000,990168.000
